Roll,Name,Email,Unnamed: 3,Unique,Dept
1401MC31,Vinay,Vinay@mycollege.in,,,MC
1401MC32,Sreekanth,Sreekanth@mycollege.in,,,MC
1401MC33,Sweta,Sweta@mycollege.in,,,MC
1401MC34,Thaanya,Thaanya@mycollege.in,,,MC
1401MC35,Rakesh,Rakesh@mycollege.in,,,MC
1401MC36,Pinky,Pinky@mycollege.in,,,MC
1401MC37,Raju,Raju@mycollege.in,,,MC
1401MC38,Rajiv,Rajiv@mycollege.in,,,MC
1401MC39,Rajkumar,Rajkumar@mycollege.in,,,MC
1401MC40,Pushkar,Pushkar@mycollege.in,,,MC
1401MC41,Asutosh,Asutosh@mycollege.in,,,MC
1401MC42,Pradip,Pradip@mycollege.in,,,MC
1401MC43,Mrityunjay,Mrityunjay@mycollege.in,,,MC
1401MC44,Kavish,Kavish@mycollege.in,,,MC
1401MC45,Monica,Monica@mycollege.in,,,MC
1401MC46,Sabareesh,Sabareesh@mycollege.in,,,MC
1401MC47,Lakshmi,Lakshmi@mycollege.in,,,MC
1401MC48,Love,Love@mycollege.in,,,MC
1401MC49,Lekhraj,Lekhraj@mycollege.in,,,MC
1401MC50,Sahil,Sahil@mycollege.in,,,MC
1401MC51,Seshikanth,Seshikanth@mycollege.in,,,MC
1401MC52,Kalpana,Kalpana@mycollege.in,,,MC
1401MC53,Santosh,Santosh@mycollege.in,,,MC
1401MC54,Kapil,Kapil@mycollege.in,,,MC
